base year,year,state,kind of economic activity,sub kind of economic activity,value rm million,status data
2015,2019,Johor,Agriculture,Agriculture,16403,f
2015,2020,Johor,Agriculture,Agriculture,16857,f
2015,2021,Johor,Agriculture,Agriculture,16980,e
2015,2022,Johor,Agriculture,Agriculture,17304,p
2015,2019,Johor,Mining and quarrying,Mining and quarrying,813,f
2015,2020,Johor,Mining and quarrying,Mining and quarrying,658,f
2015,2021,Johor,Mining and quarrying,Mining and quarrying,587,e
2015,2022,Johor,Mining and quarrying,Mining and quarrying,631,p
2015,2019,Johor,Manufacturing,"Vegetable and animal oils & fats, food processing, beverages and tobacco products",5445,f
2015,2020,Johor,Manufacturing,"Vegetable and animal oils & fats, food processing, beverages and tobacco products",5443,f
2015,2021,Johor,Manufacturing,"Vegetable and animal oils & fats, food processing, beverages and tobacco products",5307,e
2015,2022,Johor,Manufacturing,"Vegetable and animal oils & fats, food processing, beverages and tobacco products",5557,p
2015,2019,Johor,Manufacturing,"Textiles, wearing apparel and leather products",1824,f
2015,2020,Johor,Manufacturing,"Textiles, wearing apparel and leather products",1599,f
2015,2021,Johor,Manufacturing,"Textiles, wearing apparel and leather products",1707,e
2015,2022,Johor,Manufacturing,"Textiles, wearing apparel and leather products",1791,p
2015,2019,Johor,Manufacturing,"Wood products, furniture, paper products and printing",4582,f
2015,2020,Johor,Manufacturing,"Wood products, furniture, paper products and printing",4411,f
2015,2021,Johor,Manufacturing,"Wood products, furniture, paper products and printing",4681,e
2015,2022,Johor,Manufacturing,"Wood products, furniture, paper products and printing",5142,p
2015,2019,Johor,Manufacturing,"Petroleum, chemical, rubber and plastic products",7930,f
2015,2020,Johor,Manufacturing,"Petroleum, chemical, rubber and plastic products",8217,f
2015,2021,Johor,Manufacturing,"Petroleum, chemical, rubber and plastic products",8957,e
2015,2022,Johor,Manufacturing,"Petroleum, chemical, rubber and plastic products",9035,p
2015,2019,Johor,Manufacturing,"Non-metallic mineral products, basic metal and fabricated metal products",5875,f
2015,2020,Johor,Manufacturing,"Non-metallic mineral products, basic metal and fabricated metal products",5044,f
2015,2021,Johor,Manufacturing,"Non-metallic mineral products, basic metal and fabricated metal products",5110,e
2015,2022,Johor,Manufacturing,"Non-metallic mineral products, basic metal and fabricated metal products",5353,p
2015,2019,Johor,Manufacturing,"Electrical, electronic and optical products",12901,f
2015,2020,Johor,Manufacturing,"Electrical, electronic and optical products",12509,f
2015,2021,Johor,Manufacturing,"Electrical, electronic and optical products",13386,e
2015,2022,Johor,Manufacturing,"Electrical, electronic and optical products",14397,p
2015,2019,Johor,Manufacturing,"Transport equipment, other manufacturing and repair",1568,f
2015,2020,Johor,Manufacturing,"Transport equipment, other manufacturing and repair",1426,f
2015,2021,Johor,Manufacturing,"Transport equipment, other manufacturing and repair",1579,e
2015,2022,Johor,Manufacturing,"Transport equipment, other manufacturing and repair",1674,p
2015,2019,Johor,Construction,Residential and non-residential,2667,f
2015,2020,Johor,Construction,Residential and non-residential,2021,f
2015,2021,Johor,Construction,Residential and non-residential,1507,e
2015,2022,Johor,Construction,Residential and non-residential,1715,p
2015,2019,Johor,Construction,Civil engineering,3502,f
2015,2020,Johor,Construction,Civil engineering,1650,f
2015,2021,Johor,Construction,Civil engineering,1265,e
2015,2022,Johor,Construction,Civil engineering,1501,p
2015,2019,Johor,Construction,Special trade,531,f
2015,2020,Johor,Construction,Special trade,504,f
2015,2021,Johor,Construction,Special trade,651,e
2015,2022,Johor,Construction,Special trade,751,p
