date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,lat,long,year
1/1/19,Johor,1792.4,1743.2,49.3,763.4,70.1,2.8,1.4854,103.7618,2019
4/1/19,Johor,1920.9,1869.1,51.8,642.9,74.9,2.7,1.4854,103.7618,2019
7/1/19,Johor,1714.6,1666.2,48.4,858.3,66.6,2.8,1.4854,103.7618,2019
10/1/19,Johor,1783.5,1736.0,47.5,797.9,69.1,2.7,1.4854,103.7618,2019
1/1/20,Johor,1771.9,1714.4,57.5,823.3,68.3,3.2,1.4854,103.7618,2020
4/1/20,Johor,1754.1,1673.0,81.2,857.4,67.2,4.6,1.4854,103.7618,2020
7/1/20,Johor,1858.7,1792.2,66.5,793.9,70.1,3.6,1.4854,103.7618,2020
10/1/20,Johor,1824.4,1752.4,72.0,854.1,68.1,3.9,1.4854,103.7618,2020
1/1/21,Johor,1793.4,1722.6,70.8,846.6,67.9,3.9,1.4854,103.7618,2021
4/1/21,Johor,1766.4,1698.6,67.8,847.6,67.6,3.8,1.4854,103.7618,2021
7/1/21,Johor,1807.6,1735.2,72.4,824.0,68.7,4.0,1.4854,103.7618,2021
10/1/21,Johor,1839.5,1774.2,65.3,807.6,69.5,3.6,1.4854,103.7618,2021
1/1/22,Johor,1839.3,1780.7,58.6,834.1,68.8,3.2,1.4854,103.7618,2022
4/1/22,Johor,1848.4,1795.0,53.4,813.2,69.4,2.9,1.4854,103.7618,2022
7/1/22,Johor,1864.4,1818.1,46.3,810.7,69.7,2.5,1.4854,103.7618,2022
10/1/22,Johor,1856.0,1812.2,43.7,823.7,69.3,2.4,1.4854,103.7618,2022
1/1/19,Kedah,956.9,928.5,28.3,536.1,64.1,3.0,6.1184,100.3685,2019
4/1/19,Kedah,963.2,936.2,27.0,542.6,64.0,2.8,6.1184,100.3685,2019
7/1/19,Kedah,942.3,911.9,30.4,567.6,62.4,3.2,6.1184,100.3685,2019
10/1/19,Kedah,943.0,914.1,28.9,568.4,62.4,3.1,6.1184,100.3685,2019
1/1/20,Kedah,982.2,946.2,36.0,540.5,64.5,3.7,6.1184,100.3685,2020
4/1/20,Kedah,978.2,937.9,40.3,550.4,64.0,4.1,6.1184,100.3685,2020
7/1/20,Kedah,961.7,919.5,42.2,575.0,62.6,4.4,6.1184,100.3685,2020
10/1/20,Kedah,956.9,918.7,38.2,584.3,62.1,4.0,6.1184,100.3685,2020
1/1/21,Kedah,975.5,940.3,35.2,569.1,63.2,3.6,6.1184,100.3685,2021
4/1/21,Kedah,997.8,959.0,38.8,555.4,64.2,3.9,6.1184,100.3685,2021
7/1/21,Kedah,1028.9,990.1,38.8,528.9,66.1,3.8,6.1184,100.3685,2021
10/1/21,Kedah,1014.2,975.3,38.9,548.5,64.9,3.8,6.1184,100.3685,2021
1/1/22,Kedah,1032.5,997.3,35.2,536.7,65.8,3.4,6.1184,100.3685,2022
4/1/22,Kedah,1034.1,999.8,34.3,539.7,65.7,3.3,6.1184,100.3685,2022
7/1/22,Kedah,1048.5,1017.3,31.2,533.7,66.3,3.0,6.1184,100.3685,2022
10/1/22,Kedah,1057.3,1022.5,34.8,539.7,66.2,3.3,6.1184,100.3685,2022
1/1/19,Kelantan,717.1,685.7,31.4,478.8,60.0,4.4,6.1254,102.2381,2019
4/1/19,Kelantan,696.2,661.9,34.3,510.7,57.7,4.9,6.1254,102.2381,2019
7/1/19,Kelantan,716.9,680.6,36.3,498.9,59.0,5.1,6.1254,102.2381,2019
10/1/19,Kelantan,738.6,701.2,37.4,488.0,60.2,5.1,6.1254,102.2381,2019
1/1/20,Kelantan,732.4,702.0,30.4,495.0,59.7,4.2,6.1254,102.2381,2020
4/1/20,Kelantan,723.6,692.9,30.7,509.7,58.7,4.2,6.1254,102.2381,2020
7/1/20,Kelantan,715.8,683.2,32.7,525.8,57.7,4.6,6.1254,102.2381,2020
10/1/20,Kelantan,703.9,675.3,28.6,544.8,56.4,4.1,6.1254,102.2381,2020
1/1/21,Kelantan,698.3,667.8,30.5,562.0,55.4,4.4,6.1254,102.2381,2021
4/1/21,Kelantan,721.9,687.4,34.5,542.4,57.1,4.8,6.1254,102.2381,2021
7/1/21,Kelantan,747.6,709.7,37.9,522.4,58.9,5.1,6.1254,102.2381,2021
10/1/21,Kelantan,773.5,737.2,36.2,500.8,60.7,4.7,6.1254,102.2381,2021
1/1/22,Kelantan,787.9,757.3,30.6,493.2,61.5,3.9,6.1254,102.2381,2022
4/1/22,Kelantan,791.0,760.8,30.3,498.4,61.3,3.8,6.1254,102.2381,2022
7/1/22,Kelantan,792.0,763.1,28.9,504.3,61.1,3.6,6.1254,102.2381,2022
10/1/22,Kelantan,800.7,768.0,32.8,505.5,61.3,4.1,6.1254,102.2381,2022
1/1/19,Melaka,425.7,418.6,7.1,212.5,66.7,1.7,2.1896,102.2501,2019
4/1/19,Melaka,452.6,446.9,5.7,190.6,70.4,1.3,2.1896,102.2501,2019
7/1/19,Melaka,433.0,426.2,6.8,211.0,67.2,1.6,2.1896,102.2501,2019
10/1/19,Melaka,435.9,428.7,7.1,208.8,67.6,1.6,2.1896,102.2501,2019
1/1/20,Melaka,444.4,438.9,5.5,202.4,68.7,1.2,2.1896,102.2501,2020
4/1/20,Melaka,439.6,430.0,9.7,210.5,67.6,2.2,2.1896,102.2501,2020
7/1/20,Melaka,426.1,415.5,10.6,220.7,65.9,2.5,2.1896,102.2501,2020
10/1/20,Melaka,432.6,416.5,16.1,224.5,65.8,3.7,2.1896,102.2501,2020
1/1/21,Melaka,436.4,420.8,15.7,217.7,66.7,3.6,2.1896,102.2501,2021
4/1/21,Melaka,433.4,417.6,15.7,220.3,66.3,3.6,2.1896,102.2501,2021
7/1/21,Melaka,454.3,440.5,13.8,212.0,68.2,3.0,2.1896,102.2501,2021
10/1/21,Melaka,461.2,447.0,14.2,203.5,69.4,3.1,2.1896,102.2501,2021
1/1/22,Melaka,453.1,439.5,13.6,210.6,68.3,3.0,2.1896,102.2501,2022
4/1/22,Melaka,463.0,448.0,15.0,211.2,68.7,3.2,2.1896,102.2501,2022
7/1/22,Melaka,463.2,451.1,12.1,207.3,69.1,2.6,2.1896,102.2501,2022
10/1/22,Melaka,454.2,441.9,12.3,222.7,67.1,2.7,2.1896,102.2501,2022
1/1/19,Negeri Sembilan,503.0,488.0,15.0,265.2,65.5,3.0,2.7258,102.0468,2019
4/1/19,Negeri Sembilan,508.4,495.8,12.6,263.7,65.8,2.5,2.7258,102.0468,2019
7/1/19,Negeri Sembilan,498.4,487.7,10.7,276.6,64.3,2.1,2.7258,102.0468,2019
